,name_vacancy,a_href,salary,site
0,Middle data scientist,https://spb.hh.ru/vacancy/33492707?query=Data%20scientist,none,hh.ru
1,Data Scientist,https://spb.hh.ru/vacancy/33552237?query=Data%20scientist,none,hh.ru
2,Data scientist (Нижний Новгород),https://spb.hh.ru/vacancy/33487817?query=Data%20scientist,none,hh.ru
3,Senior Data Scientist,https://spb.hh.ru/vacancy/33657180?query=Data%20scientist,none,hh.ru
4,Аналитик BI / Data scientist,https://spb.hh.ru/vacancy/33432328?query=Data%20scientist,none,hh.ru
5,Data Scientist,https://spb.hh.ru/vacancy/33254178?query=Data%20scientist,none,hh.ru
6,Data Scientist,https://spb.hh.ru/vacancy/33577142?query=Data%20scientist,none,hh.ru
7,Data Scientist,https://spb.hh.ru/vacancy/33625162?query=Data%20scientist,none,hh.ru
8,Data Scientist,https://spb.hh.ru/vacancy/31381678?query=Data%20scientist,до 130 000 руб.,hh.ru
9,Data Scientist / Data Science / engineer of machine learning (deep learning),https://spb.hh.ru/vacancy/33208658?query=Data%20scientist,120 000-150 000 руб.,hh.ru
10,Data Scientist,https://spb.hh.ru/vacancy/33228647?query=Data%20scientist,none,hh.ru
11,Data Scientist (Data Lab Team),https://spb.hh.ru/vacancy/33597191?query=Data%20scientist,none,hh.ru
12,Data Scientist - NLP Engineer,https://spb.hh.ru/vacancy/33597989?query=Data%20scientist,none,hh.ru
13,Middle/Senior Data scientist,https://spb.hh.ru/vacancy/32838333?query=Data%20scientist,none,hh.ru
14,Senior Data Scientist (производственная компания),https://spb.hh.ru/vacancy/33008666?query=Data%20scientist,none,hh.ru
15,Data scientist,https://spb.hh.ru/vacancy/33256232?query=Data%20scientist,от 150 000 руб.,hh.ru
16,Специалист по машинному обучению/Data Scientist (NLP),https://spb.hh.ru/vacancy/33608231?query=Data%20scientist,none,hh.ru
17,Data And Business Intelligence Analyst (Marketing),https://spb.hh.ru/vacancy/30477202?query=Data%20scientist,none,hh.ru
18,Ведущий специалист по машинному обучению/Data Scientist,https://spb.hh.ru/vacancy/32357741?query=Data%20scientist,none,hh.ru
19,Data scientist,https://spb.hh.ru/vacancy/30965591?query=Data%20scientist,none,hh.ru
20,Data Scientist (Amber Team),https://spb.hh.ru/vacancy/33562986?query=Data%20scientist,от 150 000 руб.,hh.ru
